grupo_id,nombre,cantidad_sugerida,unidad,peso_bruto_g,peso_neto_g,energia_kcal,proteina_g,lipidos_g,hidratos_carbono_g,ag_saturados_g,ag_monoinsaturados_g,ag_poliinsaturados_g,colesterol_mg,azucar_g,fibra_g,vitamina_a_mg_re,acido_ascorbico_mg,acido_folico_mg,calcio_mg,hierro_mg,potasio_mg,sodio_mg,fosforo_mg,etanol_g,indice_glucemico,carga_glucemica,contiene_gluten
19,Calabacita redonda cruda,1,pieza,100,79,18,1.4,0.1,2.9,0.0,0.0,0.0,0.0,,1.2,10.7,10.3,20.5,19.8,0.4,159.6,0.8,,0.0,,,FALSE
19,Calabaza de Castilla cocida,1/2,taza,110,110,22,0.8,0.1,5.4,0.1,0.0,0.0,0.0,,1.2,275.0,5.2,9.9,16.5,0.6,253.0,1.1,33.0,0.0,,,FALSE
19,Calabaza zapallo cocida,1/4,pieza,55,55,22,0.5,0.0,5.8,0.0,0.0,0.0,0.0,1.1,1.8,306.9,8.3,,22.6,0.3,,2.2,,0.0,,,FALSE
19,Cebolla blanca rebanada,1/2,taza,58,58,23,0.6,0.1,5.4,0.0,0.0,0.0,0.0,,1.0,0.0,4.3,10.9,13.2,0.1,84.0,2.3,16.7,0.0,,,FALSE
19,Cebolla cocida,1/4,taza,53,53,23,0.7,0.1,5.3,0.0,0.0,0.0,0.0,,0.7,0.0,2.7,7.9,11.5,0.1,87.0,1.5,18.5,0.0,,,FALSE
19,Cebolla morada rebanada,1/2,taza,58,58,20,0.5,0.1,4.4,0.0,0.0,0.0,0.0,,0.7,0.0,6.3,,19.0,0.8,90.3,5.8,23.0,0.0,,,FALSE
19,Cebollita de cambray sin raíz,3,pieza,75,72,23,1.3,0.1,5.3,0.0,0.0,0.1,0.0,,1.9,36.0,13.5,46.1,51.8,1.1,198.7,11.5,26.6,0.0,,,FALSE
19,Cebollitas en salmuera,1/2,taza,95,95,24,0.9,0.2,6.7,0.0,0.0,0.0,0.0,,1.6,0.0,0.0,0.0,44.5,0.0,0.0,191.6,0.0,0.0,,,FALSE
19,Champiñón cocido entero,1/2,taza,78,78,20,2.8,0.3,3.2,0.0,0.0,0.1,0.0,,1.4,0.0,0.0,15.6,3.1,0.2,308.9,9.4,81.9,0.0,,,FALSE
19,Champiñón cocido rebanado,1/2,taza,70,70,18,2.5,0.2,2.8,0.0,0.0,0.1,0.0,,1.3,0.0,0.0,14.0,2.8,0.2,277.2,8.4,73.5,0.0,,,FALSE
19,Champiñón crudo entero,1,taza,96,93,20,2.9,0.3,3.1,0.1,0.0,0.2,0.0,,0.9,0.0,2.0,14.9,2.8,0.5,296.1,4.7,80.1,0.0,,,FALSE
19,Champiñón crudo rebanado,1.5,taza,105,105,23,3.2,0.4,3.4,0.1,0.0,0.2,0.0,,1.1,0.0,2.2,16.8,3.2,0.5,333.9,5.3,90.3,0.0,,,FALSE
19,Chaya,3,taza,147,147,47,4.4,1.5,7.4,0.0,0.0,0.0,0.0,0.0,0.0,693.8,142.6,0.0,172.0,1.5,,,,0.0,,,FALSE
19,Chayote cocido picado,1/2,taza,80,80,19,0.5,0.4,4.1,0.1,0.0,0.0,0.0,,2.2,1.6,6.4,14.4,10.4,0.2,138.4,0.8,23.2,0.0,,,FALSE
19,Chayote crudo,1/2,pieza,102,100,19,0.8,0.1,4.5,0.0,0.0,0.1,0.0,,1.7,0.0,7.7,93.5,17.1,0.3,125.6,2.0,18.1,0.0,,,FALSE
19,Chepil crudo,2,taza,68,39,25,2.7,0.2,3.0,0.0,0.0,0.0,0.0,,0.9,131.5,19.7,,145.1,1.9,,,28.4,0.0,,,FALSE
19,Chícharo cocido,1/4,taza,40,40,34,2.1,0.1,6.1,0.0,0.0,0.0,0.0,48.0,2.2,16.0,5.7,25.2,10.8,0.6,108.4,1.2,46.8,0.0,3.0,,FALSE
19,Chícharo crudo con vaina,1/2,taza,73,28,22,1.5,0.1,4.0,0.0,0.0,0.0,0.0,48.0,1.4,10.5,11.0,17.9,6.9,0.4,67.2,1.4,29.8,0.0,2.0,,FALSE
19,Chícharo en vaina cocido,1/3,taza,53,53,21,1.7,0.1,3.4,0.0,0.0,0.1,0.0,48.0,1.5,27.7,25.5,15.5,22.4,1.1,128.0,2.1,29.3,0.0,2.0,,FALSE
19,Chícharos y zanahorias congelados,1/4,taza,48,48,25,1.6,0.2,5.3,0.0,0.0,0.1,0.0,0.0,1.6,225.6,5.3,,12.8,0.5,,37.5,,0.0,,,FALSE
19,Chicoria cruda,3,taza,141,121,24,1.5,0.2,4.1,0.1,0.0,0.1,0.0,,1.1,124.3,8.5,172.2,63.1,1.0,380.8,26.7,34.0,0.0,,,FALSE
19,Chilacas crudas,3,pieza,90,76,24,1.1,0.2,5.5,0.0,0.0,0.1,0.0,,0.7,6.8,134.6,17.4,30.2,3.0,257.0,5.3,,0.0,,,FALSE
19,Chilacayote crudo,1.5,pieza,150,135,19,1.6,0.3,3.6,0.0,0.0,0.0,0.0,,0.4,8.1,9.5,,23.0,0.8,,,,0.0,,,FALSE
19,Chile ancho,6,gramos,6,6,20,0.7,0.6,3.8,0.0,0.0,0.0,0.0,0.0,0.0,123.7,4.6,,5.6,0.3,,0.0,,0.0,,,FALSE
19,Chile chllaca,2,pieza,60,50,20,0.8,0.2,3.7,0.0,0.0,0.1,0.0,,0.5,48.9,89.7,11.6,20.2,2.0,171.4,3.5,,0.0,,,FALSE
19,Chile chipotle seco,2,pieza,10,8,29,1.2,0.5,4.8,0.0,0.0,0.0,0.0,,0.6,19.3,0.0,,21.4,0.5,,,,0.0,,,FALSE
19,Chile costeño,4,pieza,64,54,17,0.9,0.1,3.9,0.0,0.0,0.1,0.0,,1.1,7.0,135.5,12.4,11.3,1.8,182.8,3.8,,0.0,,,FALSE
